order_id,order_date,ship_date,ship_mode,customer_id,product_id,sales,quantity,discount,profit
US-2020-149636,1/6/20,1/12/20,Standard Class,SP-20620,OFF-PA-10004041,29.60,5.00,0.20,9.25
US-2020-119480,1/9/20,1/13/20,Standard Class,CC-12685,OFF-AP-10001205,163.44,3.00,0.00,45.76
US-2020-119480,1/9/20,1/13/20,Standard Class,CC-12685,OFF-AR-10004691,42.76,2.00,0.00,11.12
US-2020-119480,1/9/20,1/13/20,Standard Class,CC-12685,OFF-PA-10000474,106.32,3.00,0.00,49.97
US-2020-119480,1/9/20,1/13/20,Standard Class,CC-12685,OFF-PA-10004996,51.55,5.00,0.00,24.23
US-2020-157154,1/10/20,1/15/20,Standard Class,MM-17920,FUR-TA-10001889,1018.10,4.00,0.40,-373.30
US-2020-128608,1/12/20,1/17/20,Standard Class,CS-12490,OFF-AR-10001374,10.37,2.00,0.20,1.56
US-2020-156755,1/12/20,1/18/20,Standard Class,YS-21880,OFF-ST-10002615,465.18,3.00,0.00,120.95
US-2020-128608,1/12/20,1/17/20,Standard Class,CS-12490,TEC-AC-10000487,10.38,2.00,0.20,2.21
US-2020-128608,1/12/20,1/17/20,Standard Class,CS-12490,TEC-PH-10000912,26.38,4.00,0.40,2.64
US-2020-128608,1/12/20,1/17/20,Standard Class,CS-12490,TEC-PH-10002262,107.12,3.00,0.40,-21.42
US-2020-128608,1/12/20,1/17/20,Standard Class,CS-12490,TEC-PH-10004977,235.19,2.00,0.40,-43.12
US-2020-137526,1/13/20,1/17/20,Standard Class,PB-19150,FUR-FU-10001861,77.60,4.00,0.00,38.02
US-2020-137526,1/13/20,1/17/20,Standard Class,PB-19150,FUR-FU-10004845,464.85,9.00,0.00,92.97
US-2020-137526,1/13/20,1/17/20,Standard Class,PB-19150,OFF-BI-10003364,70.01,3.00,0.20,24.50
US-2020-169677,1/13/20,1/15/20,Second Class,KS-16300,OFF-LA-10003223,9.82,2.00,0.00,4.81
US-2020-101399,1/17/20,1/24/20,Standard Class,JS-15940,FUR-FU-10002918,254.74,7.00,0.60,-312.06
US-2020-152681,1/17/20,1/22/20,Standard Class,SC-20260,OFF-AR-10003183,6.68,2.00,0.00,2.00
US-2020-151547,1/17/20,1/23/20,Standard Class,AH-10465,OFF-SU-10000898,88.96,8.00,0.20,10.01
CA-2020-152681,1/17/20,1/22/20,Standard Class,SC-20260,OFF-AR-10003183,6.68,2.00,0.00,2.00
US-2020-141250,1/19/20,1/23/20,Standard Class,PM-18940,FUR-CH-10004875,199.30,4.00,0.30,-8.54
US-2020-141250,1/19/20,1/23/20,Standard Class,PM-18940,FUR-TA-10002855,102.44,1.00,0.30,-13.17
CA-2020-115238,1/21/20,1/24/20,Standard Class,JW-15220,FUR-FU-10001025,24.30,5.00,0.00,10.45
CA-2020-115238,1/21/20,1/24/20,Standard Class,JW-15220,FUR-FU-10002445,9.48,1.00,0.00,3.79
CA-2020-115238,1/21/20,1/24/20,Standard Class,JW-15220,FUR-FU-10002960,31.40,5.00,0.00,13.19
CA-2020-115238,1/21/20,1/24/20,Standard Class,JW-15220,OFF-PA-10002689,6.48,1.00,0.00,3.11
CA-2020-115238,1/21/20,1/24/20,Standard Class,JW-15220,TEC-PH-10001300,209.50,10.00,0.00,58.66
US-2020-119214,1/23/20,1/27/20,Standard Class,CW-11905,OFF-LA-10003077,14.62,2.00,0.00,6.87
US-2020-119214,1/23/20,1/27/20,Standard Class,CW-11905,OFF-PA-10002893,29.04,3.00,0.00,13.94
US-2020-128958,1/24/20,1/28/20,Standard Class,CR-12820,OFF-AR-10004757,13.12,5.00,0.20,2.13
US-2020-109603,1/26/20,2/1/20,Standard Class,EM-13825,OFF-PA-10003790,182.72,8.00,0.00,84.05
US-2020-168746,1/27/20,1/29/20,Second Class,SV-20365,FUR-CH-10000513,181.99,2.00,0.30,-54.60
US-2020-164777,1/27/20,1/29/20,First Class,SC-20305,FUR-CH-10002024,2803.92,5.00,0.20,0.00
US-2020-168746,1/27/20,1/29/20,Second Class,SV-20365,TEC-PH-10000895,431.98,4.00,0.40,-100.79
US-2020-168746,1/27/20,1/29/20,Second Class,SV-20365,TEC-PH-10002555,155.37,1.00,0.40,-36.25
US-2020-116638,1/28/20,1/31/20,Second Class,JH-15985,FUR-TA-10000198,4297.64,13.00,0.40,-1862.31
US-2020-121797,1/30/20,2/6/20,Standard Class,CC-12145,FUR-FU-10001876,227.36,7.00,0.00,81.85
US-2020-145401,1/30/20,2/4/20,Standard Class,JP-15520,OFF-PA-10004405,14.30,6.00,0.20,5.01
US-2020-121797,1/30/20,2/6/20,Standard Class,CC-12145,TEC-MA-10000488,1919.98,3.00,0.20,216.00
US-2020-149587,1/31/20,2/5/20,Second Class,KB-16315,FUR-FU-10003799,53.34,3.00,0.00,16.54
US-2020-149587,1/31/20,2/5/20,Second Class,KB-16315,OFF-BI-10002852,32.96,2.00,0.00,16.15
US-2020-149587,1/31/20,2/5/20,Second Class,KB-16315,OFF-PA-10003177,12.96,2.00,0.00,6.22
US-2020-127327,2/3/20,2/7/20,Standard Class,PW-19030,FUR-CH-10004218,90.88,1.00,0.10,15.15
US-2020-140921,2/3/20,2/5/20,First Class,AA-10375,FUR-FU-10003347,28.40,2.00,0.00,11.08
US-2020-157959,2/3/20,2/4/20,First Class,RW-19540,FUR-FU-10004093,136.92,4.00,0.00,41.08
US-2020-132633,2/3/20,2/5/20,Second Class,KH-16630,OFF-BI-10002432,12.14,3.00,0.20,4.10
US-2020-103093,2/3/20,2/7/20,Standard Class,FO-14305,OFF-EN-10003286,74.52,9.00,0.00,35.02
US-2020-140921,2/3/20,2/5/20,First Class,AA-10375,TEC-AC-10004901,149.97,3.00,0.00,50.99
US-2020-156482,2/6/20,2/13/20,Standard Class,IL-15100,FUR-BO-10002598,283.92,4.00,0.00,82.34
US-2020-156482,2/6/20,2/13/20,Standard Class,IL-15100,FUR-CH-10001708,1268.82,9.00,0.00,266.45
US-2020-156482,2/6/20,2/13/20,Standard Class,IL-15100,OFF-AR-10001022,5.68,2.00,0.00,1.76
US-2020-111507,2/6/20,2/13/20,Standard Class,VW-21775,OFF-AR-10001315,5.28,3.00,0.00,1.53
US-2020-137064,2/6/20,2/13/20,Standard Class,TS-21655,OFF-BI-10002049,2.93,3.00,0.80,-4.99
US-2020-104038,2/6/20,2/8/20,First Class,LO-17170,OFF-PA-10002751,29.90,5.00,0.00,13.46
US-2020-104038,2/6/20,2/8/20,First Class,LO-17170,OFF-ST-10002554,146.73,3.00,0.00,2.93
US-2020-137064,2/6/20,2/13/20,Standard Class,TS-21655,OFF-ST-10003470,670.75,3.00,0.20,-125.77
US-2020-137064,2/6/20,2/13/20,Standard Class,TS-21655,TEC-AC-10003499,18.53,2.00,0.20,4.40
US-2020-147529,2/7/20,2/11/20,Standard Class,DK-12835,OFF-EN-10000056,311.15,5.00,0.00,146.24
US-2020-147529,2/7/20,2/11/20,Standard Class,DK-12835,OFF-PA-10003349,12.96,2.00,0.00,6.35
US-2020-130491,2/8/20,2/11/20,First Class,BH-11710,OFF-AR-10001149,5.76,2.00,0.00,1.73
US-2020-130491,2/8/20,2/11/20,First Class,BH-11710,OFF-FA-10000134,5.81,1.00,0.00,1.80
US-2020-130491,2/8/20,2/11/20,First Class,BH-11710,OFF-PA-10000791,9.54,2.00,0.00,4.29
US-2020-114923,2/8/20,2/13/20,Standard Class,LH-17020,TEC-PH-10003931,107.98,3.00,0.40,-27.00
US-2020-146038,2/9/20,2/16/20,Standard Class,SJ-20215,FUR-CH-10002774,203.92,5.00,0.20,22.94
US-2020-135391,2/9/20,2/11/20,Second Class,FA-14230,FUR-FU-10001986,40.78,2.00,0.60,-30.59
US-2020-135391,2/9/20,2/11/20,Second Class,FA-14230,OFF-LA-10001074,40.10,4.00,0.20,13.53
US-2020-101007,2/9/20,2/13/20,Second Class,MS-17980,TEC-AC-10001266,20.80,2.00,0.20,6.50
US-2020-153374,2/9/20,2/13/20,Second Class,JF-15565,TEC-AC-10001908,479.95,6.00,0.20,89.99
US-2020-101126,2/10/20,2/14/20,Second Class,NB-18655,OFF-ST-10000943,77.24,5.00,0.20,7.72
US-2020-147662,2/14/20,2/19/20,Standard Class,KB-16315,OFF-AR-10004999,14.35,3.00,0.20,0.90
US-2020-147662,2/14/20,2/19/20,Standard Class,KB-16315,OFF-BI-10001658,14.95,2.00,0.70,-11.96
US-2020-147662,2/14/20,2/19/20,Standard Class,KB-16315,OFF-BI-10002160,2.29,2.00,0.70,-1.68
US-2020-116876,2/14/20,2/21/20,Standard Class,TT-21070,OFF-BI-10002897,26.42,9.00,0.20,9.58
US-2020-147662,2/14/20,2/19/20,Standard Class,KB-16315,TEC-AC-10003280,71.98,3.00,0.20,0.90
US-2020-116876,2/14/20,2/21/20,Standard Class,TT-21070,TEC-PH-10002584,625.99,1.00,0.00,187.80
US-2020-147662,2/14/20,2/19/20,Standard Class,KB-16315,TEC-PH-10002834,323.98,3.00,0.40,-81.00
US-2020-116092,2/15/20,2/18/20,Second Class,JM-16195,OFF-AP-10001391,541.44,6.00,0.00,157.02
US-2020-116092,2/15/20,2/18/20,Second Class,JM-16195,OFF-BI-10000546,11.52,5.00,0.20,4.18
US-2020-116092,2/15/20,2/18/20,Second Class,JM-16195,OFF-BI-10001628,41.72,5.00,0.20,13.04
US-2020-116092,2/15/20,2/18/20,Second Class,JM-16195,OFF-PA-10000477,19.44,3.00,0.00,9.33
US-2020-116092,2/15/20,2/18/20,Second Class,JM-16195,OFF-PA-10004285,13.36,2.00,0.00,6.41
US-2020-154326,2/15/20,2/19/20,Standard Class,RP-19855,TEC-AC-10004568,139.95,5.00,0.00,26.59
US-2020-154326,2/15/20,2/19/20,Standard Class,RP-19855,TEC-PH-10000560,699.98,2.00,0.00,195.99
US-2020-154326,2/15/20,2/19/20,Standard Class,RP-19855,TEC-PH-10001819,134.97,3.00,0.00,64.79
US-2020-121776,2/16/20,2/21/20,Standard Class,RD-19585,OFF-LA-10002762,87.71,7.00,0.00,41.22
US-2020-121776,2/16/20,2/21/20,Standard Class,RD-19585,OFF-PA-10001970,36.84,3.00,0.00,17.31
US-2020-156923,2/16/20,2/20/20,Standard Class,SP-20860,OFF-PA-10002751,35.88,6.00,0.00,16.15
US-2020-105725,2/18/20,2/24/20,Standard Class,GT-14755,FUR-TA-10001676,35.54,1.00,0.20,-0.89
US-2020-111234,2/18/20,2/22/20,Standard Class,AB-10600,OFF-LA-10002271,9.24,3.00,0.00,4.44
US-2020-105725,2/18/20,2/24/20,Standard Class,GT-14755,OFF-LA-10003510,61.06,2.00,0.00,28.09
US-2020-152611,2/20/20,2/23/20,Second Class,KA-16525,OFF-AR-10003903,286.79,7.00,0.00,74.57
US-2020-169740,2/20/20,2/25/20,Standard Class,LM-17065,TEC-AC-10000927,29.99,1.00,0.00,3.00
US-2020-162782,2/21/20,2/27/20,Standard Class,PW-19240,OFF-BI-10003527,2541.98,2.00,0.00,1270.99
US-2020-129770,2/21/20,2/23/20,Second Class,JE-15715,OFF-PA-10000249,49.12,4.00,0.00,23.09
US-2020-132374,2/22/20,2/24/20,Second Class,PS-19045,OFF-AR-10001615,79.36,4.00,0.00,20.63
US-2020-132276,2/23/20,2/28/20,Standard Class,LC-16960,OFF-AP-10000804,26.88,6.00,0.00,6.72
US-2020-132276,2/23/20,2/28/20,Standard Class,LC-16960,OFF-BI-10002982,10.90,2.00,0.20,3.81
US-2020-154900,2/25/20,3/1/20,Standard Class,SS-20875,OFF-LA-10001641,3.15,1.00,0.00,1.51
US-2020-154900,2/25/20,3/1/20,Standard Class,SS-20875,OFF-PA-10002377,22.72,4.00,0.00,10.22
US-2020-104129,2/27/20,3/2/20,Standard Class,ES-14080,FUR-TA-10004152,493.92,7.00,0.30,-28.22
US-2020-111325,2/27/20,2/28/20,First Class,BT-11395,OFF-AR-10002257,16.03,6.00,0.20,2.20
US-2020-111325,2/27/20,2/28/20,First Class,BT-11395,OFF-BI-10000343,4.42,3.00,0.70,-3.39
US-2020-138485,2/27/20,3/1/20,Second Class,NP-18670,TEC-AC-10002076,538.92,9.00,0.00,80.84
US-2020-104129,2/27/20,3/2/20,Standard Class,ES-14080,TEC-PH-10003800,105.98,2.00,0.00,1.06
US-2020-145436,2/28/20,3/4/20,Standard Class,VD-21670,FUR-CH-10004477,389.70,8.00,0.20,43.84
US-2020-145436,2/28/20,3/4/20,Standard Class,VD-21670,FUR-CH-10004860,161.57,2.00,0.20,-28.27
US-2020-133585,3/1/20,3/4/20,First Class,CM-12715,FUR-BO-10001811,1228.00,6.00,0.32,-36.12
US-2020-102316,3/1/20,3/3/20,Second Class,DH-13075,FUR-CH-10003396,184.75,3.00,0.20,-20.78
US-2020-133494,3/1/20,3/5/20,Standard Class,RP-19390,OFF-AP-10002906,3.55,2.00,0.20,0.44
US-2020-133585,3/1/20,3/4/20,First Class,CM-12715,OFF-AR-10003696,55.33,2.00,0.20,6.22
US-2020-153325,3/1/20,3/2/20,Second Class,ST-20530,OFF-BI-10004236,58.72,4.00,0.00,27.01
US-2020-102316,3/1/20,3/3/20,Second Class,DH-13075,TEC-PH-10000376,15.98,2.00,0.20,1.20
US-2020-104052,3/1/20,3/2/20,First Class,TP-21565,TEC-PH-10003215,95.84,4.00,0.20,34.74
US-2020-110457,3/2/20,3/6/20,Standard Class,DK-13090,FUR-TA-10001768,787.53,3.00,0.00,165.38
US-2020-105970,3/2/20,3/7/20,Standard Class,PA-19060,OFF-AR-10003156,10.16,1.00,0.00,2.64
US-2020-105970,3/2/20,3/7/20,Standard Class,PA-19060,OFF-EN-10001532,101.88,6.00,0.00,50.94
US-2020-109512,3/5/20,3/5/20,Same Day,LF-17185,FUR-CH-10001146,383.61,7.00,0.10,63.93
US-2020-125185,3/5/20,3/7/20,Second Class,AH-10195,FUR-CH-10002647,99.37,2.00,0.30,-7.10
US-2020-140221,3/5/20,3/9/20,Second Class,MS-17365,FUR-FU-10000023,4.71,2.00,0.60,-1.88
US-2020-125185,3/5/20,3/7/20,Second Class,AH-10195,FUR-FU-10003247,33.57,2.00,0.20,-5.45
US-2020-140221,3/5/20,3/9/20,Second Class,MS-17365,OFF-AP-10000828,180.98,5.00,0.80,-470.55
US-2020-153108,3/5/20,3/9/20,Standard Class,SF-20200,OFF-AP-10002222,60.69,7.00,0.00,16.39
US-2020-140221,3/5/20,3/9/20,Second Class,MS-17365,OFF-BI-10002854,11.21,2.00,0.80,-16.82
US-2020-109001,3/5/20,3/9/20,Standard Class,KN-16390,OFF-BI-10003529,2.56,3.00,0.70,-1.79
US-2020-109512,3/5/20,3/5/20,Same Day,LF-17185,OFF-EN-10002621,29.34,3.00,0.00,14.67
US-2020-151785,3/5/20,3/10/20,Standard Class,JJ-15445,OFF-FA-10000611,7.10,6.00,0.20,2.49
US-2020-109512,3/5/20,3/5/20,Same Day,LF-17185,OFF-ST-10000689,563.40,4.00,0.00,67.61
US-2020-140221,3/5/20,3/9/20,Second Class,MS-17365,OFF-ST-10000777,60.42,2.00,0.20,6.04
US-2020-109001,3/5/20,3/9/20,Standard Class,KN-16390,TEC-AC-10001101,10.31,1.00,0.20,-1.29
US-2020-120320,3/5/20,3/9/20,Standard Class,MV-18190,TEC-PH-10000149,31.92,2.00,0.20,2.39
US-2020-109001,3/5/20,3/9/20,Standard Class,KN-16390,TEC-PH-10000562,466.16,7.00,0.40,-93.23
US-2020-153108,3/5/20,3/9/20,Standard Class,SF-20200,TEC-PH-10001552,23.92,2.00,0.00,6.70
US-2020-142944,3/6/20,3/11/20,Standard Class,JL-15850,FUR-FU-10000308,435.26,7.00,0.00,95.76
US-2020-142944,3/6/20,3/11/20,Standard Class,JL-15850,TEC-CO-10003763,1119.98,2.00,0.20,377.99
US-2020-146255,3/7/20,3/10/20,First Class,EM-14140,OFF-BI-10000309,30.44,2.00,0.00,14.92
US-2020-146255,3/7/20,3/10/20,First Class,EM-14140,OFF-BI-10001765,69.28,2.00,0.00,33.25
US-2020-146255,3/7/20,3/10/20,First Class,EM-14140,TEC-AC-10004469,119.85,3.00,0.00,52.73
US-2020-146255,3/7/20,3/10/20,First Class,EM-14140,TEC-PH-10001619,587.97,3.00,0.00,170.51
US-2020-105627,3/8/20,3/12/20,Standard Class,DK-12895,FUR-BO-10002916,512.94,3.00,0.00,97.46
US-2020-105627,3/8/20,3/12/20,Standard Class,DK-12895,FUR-CH-10002084,860.93,7.00,0.00,189.40
US-2020-105627,3/8/20,3/12/20,Standard Class,DK-12895,FUR-FU-10000308,373.08,6.00,0.00,82.08
US-2020-107741,3/8/20,3/10/20,First Class,FC-14335,OFF-AR-10002399,3.41,1.00,0.20,0.89
US-2020-105627,3/8/20,3/12/20,Standard Class,DK-12895,OFF-AR-10002704,14.98,1.00,0.00,4.49
US-2020-132136,3/8/20,3/12/20,Standard Class,FO-14305,OFF-BI-10002706,8.57,3.00,0.80,-14.57
US-2020-160213,3/8/20,3/13/20,Standard Class,AR-10825,OFF-PA-10003848,19.44,3.00,0.00,9.33
US-2020-105627,3/8/20,3/12/20,Standard Class,DK-12895,TEC-PH-10003012,769.95,5.00,0.00,223.29
US-2020-110345,3/9/20,3/11/20,Second Class,TG-21310,OFF-LA-10001175,4.61,2.00,0.20,1.67
US-2020-123155,3/9/20,3/12/20,First Class,NS-18640,TEC-AC-10002473,113.52,5.00,0.20,29.80
US-2020-123155,3/9/20,3/12/20,First Class,NS-18640,TEC-PH-10001809,359.88,3.00,0.20,22.49
US-2020-146829,3/10/20,3/10/20,Same Day,TS-21340,OFF-BI-10004022,1.11,2.00,0.80,-1.89
US-2020-118906,3/10/20,3/10/20,Same Day,KB-16585,OFF-ST-10002406,89.82,6.00,0.00,25.15
US-2020-128083,3/12/20,3/17/20,Standard Class,EB-13750,FUR-FU-10001731,6.41,3.00,0.20,1.44
US-2020-128083,3/12/20,3/17/20,Standard Class,EB-13750,FUR-FU-10003194,30.88,4.00,0.20,3.86
US-2020-128083,3/12/20,3/17/20,Standard Class,EB-13750,OFF-EN-10004030,8.69,3.00,0.20,2.93
US-2020-148705,3/12/20,3/18/20,Standard Class,EB-14170,OFF-LA-10001641,5.04,2.00,0.20,1.76
US-2020-114237,3/13/20,3/15/20,First Class,MC-17275,FUR-BO-10004409,141.96,2.00,0.00,39.75
US-2020-139675,3/13/20,3/18/20,Second Class,NF-18595,FUR-CH-10004063,915.14,4.00,0.20,102.95
US-2020-139675,3/13/20,3/18/20,Second Class,NF-18595,FUR-FU-10001979,327.76,8.00,0.00,91.77
CA-2020-139675,3/13/20,3/18/20,Second Class,NF-18595,FUR-CH-10004063,915.14,4.00,0.20,102.95
CA-2020-139675,3/13/20,3/18/20,Second Class,NF-18595,FUR-FU-10001979,327.76,8.00,0.00,91.77
US-2020-163587,3/14/20,3/18/20,Standard Class,EP-13915,OFF-BI-10003091,671.94,3.00,0.00,315.81
US-2020-163587,3/14/20,3/18/20,Standard Class,EP-13915,OFF-LA-10004484,16.52,4.00,0.00,7.60
US-2020-167479,3/14/20,3/19/20,Standard Class,AI-10855,OFF-PA-10002105,19.44,3.00,0.00,9.33
US-2020-155124,3/15/20,3/21/20,Standard Class,KS-16300,TEC-PH-10003356,16.78,3.00,0.20,1.68
US-2020-144722,3/16/20,3/23/20,Standard Class,MF-18250,FUR-FU-10001215,43.13,1.00,0.00,18.11
US-2020-112116,3/16/20,3/18/20,Second Class,JE-15475,FUR-TA-10001039,171.96,2.00,0.00,44.71
US-2020-145352,3/16/20,3/22/20,Standard Class,CM-12385,OFF-AR-10001662,2.74,1.00,0.00,0.74
US-2020-150231,3/16/20,3/20/20,Second Class,JK-15640,OFF-AR-10001761,17.52,3.00,0.00,6.31
US-2020-145352,3/16/20,3/22/20,Standard Class,CM-12385,OFF-AR-10003856,8.34,3.00,0.00,2.17
US-2020-145352,3/16/20,3/22/20,Standard Class,CM-12385,OFF-BI-10003527,6354.95,5.00,0.00,3177.48
US-2020-134257,3/16/20,3/19/20,Second Class,MS-17710,OFF-EN-10003845,7.38,2.00,0.00,3.39
US-2020-134257,3/16/20,3/19/20,Second Class,MS-17710,OFF-LA-10003930,491.55,5.00,0.00,240.86
US-2020-145352,3/16/20,3/22/20,Standard Class,CM-12385,OFF-ST-10001228,46.74,3.00,0.00,11.69
US-2020-153906,3/16/20,3/20/20,Standard Class,MS-17980,TEC-PH-10001527,85.90,2.00,0.00,2.58
US-2020-110632,3/17/20,3/22/20,Second Class,HR-14830,OFF-ST-10001291,33.82,2.00,0.00,9.13
US-2020-110632,3/17/20,3/22/20,Second Class,HR-14830,TEC-AC-10000387,15.02,1.00,0.00,2.70
US-2020-168088,3/19/20,3/22/20,First Class,CM-12655,FUR-BO-10004218,383.47,4.00,0.32,-67.67
US-2020-113110,3/19/20,3/23/20,Standard Class,BK-11260,OFF-BI-10000088,17.57,2.00,0.20,6.37
US-2020-149993,3/19/20,3/20/20,First Class,GA-14725,OFF-FA-10001561,10.90,5.00,0.00,3.60
US-2020-113110,3/19/20,3/23/20,Standard Class,BK-11260,OFF-LA-10000240,14.62,2.00,0.00,6.87
US-2020-168088,3/19/20,3/22/20,First Class,CM-12655,OFF-PA-10000675,65.58,2.00,0.20,23.77
US-2020-143532,3/19/20,3/24/20,Standard Class,DC-12850,OFF-PA-10001560,14.50,3.00,0.20,4.89
US-2020-163104,3/19/20,3/26/20,Standard Class,MC-18130,OFF-PA-10001947,11.96,2.00,0.00,5.86
US-2020-113110,3/19/20,3/23/20,Standard Class,BK-11260,OFF-PA-10002749,40.14,6.00,0.00,19.67
US-2020-111829,3/19/20,3/20/20,First Class,FH-14365,OFF-PA-10004359,209.70,2.00,0.00,100.66
US-2020-111829,3/19/20,3/20/20,First Class,FH-14365,OFF-ST-10000142,1247.64,3.00,0.00,349.34
US-2020-113110,3/19/20,3/23/20,Standard Class,BK-11260,OFF-SU-10001165,33.36,4.00,0.00,8.67
US-2020-111829,3/19/20,3/20/20,First Class,FH-14365,TEC-CO-10001766,3149.93,7.00,0.00,1480.47
US-2020-132101,3/19/20,3/25/20,Standard Class,JO-15550,TEC-PH-10004539,453.58,3.00,0.20,39.69
US-2020-127607,3/20/20,3/26/20,Standard Class,JK-15730,OFF-BI-10001308,2.51,2.00,0.80,-4.40
US-2020-159534,3/20/20,3/23/20,First Class,DH-13075,OFF-BI-10003656,1087.94,8.00,0.20,353.58
US-2020-159534,3/20/20,3/23/20,First Class,DH-13075,OFF-BI-10003982,49.85,3.00,0.20,16.82
US-2020-159534,3/20/20,3/23/20,First Class,DH-13075,OFF-EN-10004386,23.99,1.00,0.00,12.00
US-2020-127607,3/20/20,3/26/20,Standard Class,JK-15730,OFF-FA-10003485,18.86,9.00,0.20,6.13
US-2020-106565,3/20/20,3/23/20,First Class,BW-11110,OFF-PA-10000061,51.84,8.00,0.00,24.88
US-2020-159534,3/20/20,3/23/20,First Class,DH-13075,OFF-ST-10001172,83.92,4.00,0.00,20.14
US-2020-165813,3/20/20,3/22/20,Second Class,BM-11785,OFF-ST-10004258,29.30,3.00,0.20,2.56
US-2020-159534,3/20/20,3/23/20,First Class,DH-13075,TEC-PH-10002310,199.98,2.00,0.00,53.99
US-2020-120621,3/21/20,3/26/20,Standard Class,JW-16075,OFF-AP-10002945,962.08,4.00,0.20,156.34
US-2020-120621,3/21/20,3/26/20,Standard Class,JW-16075,OFF-BI-10000948,12.84,3.00,0.70,-9.85
US-2020-120621,3/21/20,3/26/20,Standard Class,JW-16075,OFF-PA-10002254,295.46,14.00,0.20,96.02
CA-2020-150547,3/21/20,3/26/20,Standard Class,FG-14260,OFF-BI-10001071,9.48,1.00,0.00,3.79
US-2020-163279,3/22/20,3/26/20,Standard Class,JD-16150,FUR-FU-10000747,91.96,2.00,0.00,15.63
US-2020-121552,3/22/20,3/27/20,Standard Class,FW-14395,OFF-AR-10003217,19.56,4.00,0.00,5.48
US-2020-157812,3/22/20,3/26/20,Standard Class,DB-13210,OFF-BI-10000285,14.11,9.00,0.80,-21.17
US-2020-163279,3/22/20,3/26/20,Standard Class,JD-16150,OFF-PA-10003127,105.52,4.00,0.00,48.54
US-2020-157812,3/22/20,3/26/20,Standard Class,DB-13210,OFF-ST-10000736,129.57,2.00,0.20,-25.91
US-2020-117884,3/22/20,3/22/20,Same Day,DC-13285,OFF-ST-10002182,150.41,9.00,0.20,-33.84
US-2020-157812,3/22/20,3/26/20,Standard Class,DB-13210,TEC-AC-10000171,18.39,1.00,0.20,5.29
US-2020-117884,3/22/20,3/22/20,Same Day,DC-13285,TEC-AC-10002567,447.94,7.00,0.20,89.59
US-2020-163440,3/22/20,3/24/20,First Class,RD-19900,TEC-PH-10000376,15.98,2.00,0.20,1.20
US-2020-163279,3/22/20,3/26/20,Standard Class,JD-16150,TEC-PH-10001795,1487.98,3.00,0.20,186.00
US-2020-125374,3/23/20,3/29/20,Standard Class,JD-16060,FUR-CH-10003396,107.77,2.00,0.30,-29.25
US-2020-130218,3/23/20,3/26/20,First Class,SG-20470,OFF-FA-10003112,31.56,4.00,0.00,14.20
